folder,freesound_id,name,duration_s,author,license,filename
dragon,442964,Dragon Roar,3.1,qubodup,http://creativecommons.org/publicdomain/zero/1.0/,fs_442964_dragon_roar.mp3
dragon,532155,mighty dragon roaring,3.99,soundmast123,http://creativecommons.org/publicdomain/zero/1.0/,fs_532155_mighty_dragon_roaring.mp3
dragon,546391,Dragon Roar.wav,11.5,Dreeme,http://creativecommons.org/publicdomain/zero/1.0/,fs_546391_dragon_roar_wav.mp3
dragon,203105,Dragon Roar,5.26,tambascot,http://creativecommons.org/publicdomain/zero/1.0/,fs_203105_dragon_roar.mp3
dragon,320345,Dino Hiss Dragon Roar,5.75,999999990,http://creativecommons.org/publicdomain/zero/1.0/,fs_320345_dino_hiss_dragon_roar.mp3
dragon,85568,DRAGON_ROAR.wav,2.47,JoelAudio,http://creativecommons.org/publicdomain/zero/1.0/,fs_85568_dragon_roar_wav.mp3
dragon,315822,dragon roar mild 15.aiff,1.99,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315822_dragon_roar_mild_15_aiff.mp3
dragon,315821,dragon roar mild 16.aiff,1.66,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315821_dragon_roar_mild_16_aiff.mp3
dragon,315820,dragon roar mild 13.aiff,3.54,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315820_dragon_roar_mild_13_aiff.mp3
dragon,315819,dragon roar mild 14.aiff,2.04,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315819_dragon_roar_mild_14_aiff.mp3
dragon,315817,dragon roar mild 12.aiff,2.13,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315817_dragon_roar_mild_12_aiff.mp3
dragon,315816,dragon roar slow 1.aiff,3.53,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315816_dragon_roar_slow_1_aiff.mp3
dragon,315814,dragon roar mild 2.aiff,1.79,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315814_dragon_roar_mild_2_aiff.mp3
dragon,315813,dragon roar slow 2.aiff,4.96,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,fs_315813_dragon_roar_slow_2_aiff.mp3
